date_of_metrics,partner,Breakdown,visits,Breakdown_type
2023-01-23T00:00:00,O2,Google,5119.92,Brand
2023-01-23T00:00:00,AT&T,Google,11447.0,Brand
2023-01-23T00:00:00,FNAC,Oppo,2512.57,Brand
2023-01-23T00:00:00,O2,Xiaomi,1327.01,Brand
2023-01-23T00:00:00,AT&T,Apple,115498.0,Brand
2023-01-23T00:00:00,Best Buy,OnePlus,17517.5,Brand
2023-01-23T00:00:00,Darty,Oppo,2857.25,Brand
2023-01-23T00:00:00,EE,Samsung,10400.4,Brand
2023-01-23T00:00:00,O2,Samsung,12006.7,Brand
2023-01-23T00:00:00,AT&T,Samsung,40386.5,Brand
2023-01-23T00:00:00,Docomo,Sony,17750.6,Brand
2023-01-23T00:00:00,EE,Oppo,2353.75,Brand
2023-01-23T00:00:00,O2,Oppo,450.295,Brand
2023-01-23T00:00:00,Telia NO,Google,2650.73,Brand
2023-01-23T00:00:00,TaiwanMobile,Samsung,749.648,Brand
2023-01-23T00:00:00,Best Buy,Google,47577.2,Brand
2023-01-23T00:00:00,Docomo,Aquos,18558.9,Brand
2023-01-23T00:00:00,EE,Google,9307.72,Brand
2023-01-23T00:00:00,Elkjop NO,Google,3372.12,Brand
2023-01-23T00:00:00,Telia NO,Apple,1739.55,Brand
2023-01-23T00:00:00,Best Buy,Apple,74053.2,Brand
2023-01-23T00:00:00,Docomo,Apple,13271.3,Brand
2023-01-23T00:00:00,Elkjop NO,Apple,6284.25,Brand
2023-01-23T00:00:00,Elkjop NO,Xiaomi,1764.01,Brand
2023-01-23T00:00:00,Flipkart,IQOO,19436.4,Brand
2023-01-23T00:00:00,Flipkart,Motorola,205612.0,Brand
2023-01-23T00:00:00,Flipkart,Oppo,9680.69,Brand
2023-01-23T00:00:00,Flipkart,VIVO,57398.1,Brand
2023-01-23T00:00:00,Telia NO,Samsung,3137.39,Brand
2023-01-23T00:00:00,Verizon,Google,24907.7,Brand
2023-01-23T00:00:00,Best Buy,Samsung,55962.6,Brand
2023-01-23T00:00:00,Telia DK,Apple,1853.18,Brand
2023-01-23T00:00:00,Telia DK,Google,1074.52,Brand
2023-01-23T00:00:00,Telia SE,Google,473.414,Brand
2023-01-23T00:00:00,Belsimpel,Oppo,1674.35,Brand
2023-01-23T00:00:00,Docomo,Samsung,13322.4,Brand
2023-01-23T00:00:00,Elkjop NO,Samsung,7229.37,Brand
2023-01-23T00:00:00,Flipkart,Apple,236927.0,Brand
2023-01-23T00:00:00,Flipkart,Google,123382.0,Brand
2023-01-23T00:00:00,Telia DK,Xiaomi,548.236,Brand
2023-01-23T00:00:00,Telia SE,Apple,3913.63,Brand
2023-01-23T00:00:00,Belsimpel,Google,17644.1,Brand
2023-01-23T00:00:00,Flipkart,Xiaomi,172300.0,Brand
2023-01-23T00:00:00,Tmobile NL,Oppo,1223.24,Brand
2023-01-23T00:00:00,T-Mobile,OnePlus,6460.87,Brand
2023-01-23T00:00:00,Verizon,OnePlus,293.957,Brand
2023-01-23T00:00:00,Carphone Warehouse,Oppo,3899.4,Brand
2023-01-23T00:00:00,Telia DK,Samsung,1551.37,Brand
2023-01-23T00:00:00,Telia SE,Samsung,1480.75,Brand
2023-01-23T00:00:00,Vodafone UK,Oppo,3295.04,Brand
2023-01-23T00:00:00,Belsimpel,Apple,15794.4,Brand
2023-01-23T00:00:00,Belsimpel,Xiaomi,2666.05,Brand
2023-01-23T00:00:00,Flipkart,OnePlus,117921.0,Brand
2023-01-23T00:00:00,Flipkart,Nothing ,124126.0,Brand
2023-01-23T00:00:00,Flipkart,Samsung,231540.0,Brand
2023-01-23T00:00:00,Tmobile NL,Apple,1863.09,Brand
2023-01-23T00:00:00,Tmobile NL,Google,2480.99,Brand
2023-01-23T00:00:00,Vodafone UK,Google,4574.59,Brand
2023-01-23T00:00:00,Carphone Warehouse,Google,13659.9,Brand
2023-01-23T00:00:00,T-Mobile,Google,22346.5,Brand
2023-01-23T00:00:00,Telekom,Apple,20072.5,Brand
2023-01-23T00:00:00,Telekom,Google,4765.08,Brand
2023-01-23T00:00:00,Vodafone DE,Apple,15144.9,Brand
2023-01-23T00:00:00,Vodafone DE,Google,14596.1,Brand
2023-01-23T00:00:00,Softbank,Sharp,11897.6,Brand
2023-01-23T00:00:00,Softbank,Google,9162.68,Brand
2023-01-23T00:00:00,Belsimpel,Samsung,17958.8,Brand
2023-01-23T00:00:00,EE,Apple,25352.7,Brand
2023-01-23T00:00:00,Tmobile NL,Xiaomi,414.199,Brand
2023-01-23T00:00:00,Carphone Warehouse,Apple,19279.3,Brand
2023-01-23T00:00:00,Carphone Warehouse,Xiaomi,2201.77,Brand
2023-01-23T00:00:00,T-Mobile,Apple,113207.0,Brand
2023-01-23T00:00:00,Telekom,Xiaomi,2110.79,Brand
2023-01-23T00:00:00,Vodafone DE,Xiaomi,1299.39,Brand
2023-01-23T00:00:00,KDDI,Oppo,3199.02,Brand
2023-01-23T00:00:00,Softbank,Sony,6433.8,Brand
2023-01-23T00:00:00,Softbank,Apple,24725.8,Brand
2023-01-23T00:00:00,Vodafone UK,Apple,18468.9,Brand
2023-01-23T00:00:00,Vodafone UK,Xiaomi,687.319,Brand
2023-01-23T00:00:00,Tmobile NL,Samsung,1624.3,Brand
2023-01-23T00:00:00,Carphone Warehouse,Samsung,14763.4,Brand
2023-01-23T00:00:00,T-Mobile,Samsung,59946.0,Brand
2023-01-23T00:00:00,Telekom,Samsung,11549.1,Brand
2023-01-23T00:00:00,Vodafone DE,Samsung,9949.98,Brand
2023-01-23T00:00:00,Elkjop DK,Google,1409.04,Brand
2023-01-23T00:00:00,KDDI,Sharp,12700.5,Brand
2023-01-23T00:00:00,KDDI,Google,12197.3,Brand
2023-01-23T00:00:00,Vodafone UK,Samsung,10789.3,Brand
2023-01-23T00:00:00,O2,Apple,18129.2,Brand
2023-01-23T00:00:00,Saturn,Xiaomi,7388.72,Brand
2023-01-23T00:00:00,Elkjop DK,Apple,5663.52,Brand
2023-01-23T00:00:00,Elkjop DK,Xiaomi,930.052,Brand
2023-01-23T00:00:00,KDDI,Sony,14516.4,Brand
2023-01-23T00:00:00,KDDI,Apple,17461.4,Brand
2023-01-23T00:00:00,Verizon,Apple,191766.0,Brand
2023-01-23T00:00:00,Saturn,Samsung,31590.2,Brand
2023-01-23T00:00:00,Elkjop DK,Samsung,5140.42,Brand
2023-01-23T00:00:00,KDDI,Samsung,13778.2,Brand
2023-01-23T00:00:00,Verizon,Samsung,64228.6,Brand
2023-01-23T00:00:00,FNAC,Google,9930.17,Brand
2023-01-23T00:00:00,Currys,Google,5279.86,Brand
2023-01-23T00:00:00,FNAC,Apple,15737.6,Brand
2023-01-23T00:00:00,Saturn,Apple,23055.9,Brand
2023-01-23T00:00:00,Elkjop SE,Google,3924.16,Brand
2023-01-23T00:00:00,Currys,Apple,20203.2,Brand
2023-01-23T00:00:00,Currys,Oppo,2336.76,Brand
2023-01-23T00:00:00,Currys,Xiaomi,3449.63,Brand
2023-01-23T00:00:00,FNAC,Samsung,12240.1,Brand
2023-01-23T00:00:00,Mediamarkt,Oppo,968.529,Brand
2023-01-23T00:00:00,Saturn,Google,6476.76,Brand
2023-01-23T00:00:00,Elkjop SE,Apple,9711.79,Brand
2023-01-23T00:00:00,Elkjop SE,Xiaomi,3871.25,Brand
2023-01-23T00:00:00,Currys,Samsung,14304.9,Brand
2023-01-23T00:00:00,Mediamarkt,Apple,43394.2,Brand
2023-01-23T00:00:00,Mediamarkt,Google,13441.0,Brand
2023-01-23T00:00:00,Elkjop SE,Samsung,10404.0,Brand
2023-01-23T00:00:00,Darty,Apple,7103.93,Brand
2023-01-23T00:00:00,Darty,Google,187.4,Brand
2023-01-23T00:00:00,Mediamarkt,Xiaomi,12550.1,Brand
2023-01-23T00:00:00,Mediamarkt,Apple,15634.5,Brand
2023-01-23T00:00:00,Mediamarkt,Google,4392.66,Brand
2023-01-23T00:00:00,Bell,TCL,144.483,Brand
2023-01-23T00:00:00,Telus,TCL,546.067,Brand
2023-01-23T00:00:00,Mediamarkt,Samsung,55480.0,Brand
2023-01-23T00:00:00,Mediamarkt,Xiaomi,2200.96,Brand
2023-01-23T00:00:00,Bouygues Telecom,Oppo,2428.13,Brand
2023-01-23T00:00:00,Bell,Motorola,376.919,Brand
2023-01-23T00:00:00,Rogers,Motorola,212.316,Brand
2023-01-23T00:00:00,Telus,Motorola,1557.1,Brand
2023-01-23T00:00:00,Boulanger,Apple,1897.58,Brand
2023-01-23T00:00:00,Darty,Samsung,18729.0,Brand
2023-01-23T00:00:00,Mediamarkt,Samsung,11575.8,Brand
2023-01-23T00:00:00,Boulanger,Oppo,1370.87,Brand
2023-01-23T00:00:00,orange,Oppo,2565.84,Brand
2023-01-23T00:00:00,RED by SFR,Oppo,372.941,Brand
2023-01-23T00:00:00,Harvey Norman,Google,4648.01,Brand
2023-01-23T00:00:00,JB Hi-Fi,Apple,19724.4,Brand
2023-01-23T00:00:00,JB Hi-Fi,Google,12578.4,Brand
2023-01-23T00:00:00,Bell,Google,1764.05,Brand
2023-01-23T00:00:00,Rogers,Google,1687.84,Brand
2023-01-23T00:00:00,Telus,Google,2695.08,Brand
2023-01-23T00:00:00,Bouygues Telecom,Apple,21630.7,Brand
2023-01-23T00:00:00,Bouygues Telecom,Xiaomi,12134.6,Brand
2023-01-23T00:00:00,Harvey Norman,Apple,7701.9,Brand
2023-01-23T00:00:00,Bell,Apple,8488.39,Brand
2023-01-23T00:00:00,Rogers,Apple,14244.8,Brand
2023-01-23T00:00:00,Telus,Apple,5516.93,Brand
2023-01-23T00:00:00,1und1,Apple,16959.6,Brand
2023-01-23T00:00:00,1und1,Google,2179.17,Brand
2023-01-23T00:00:00,1und1,Xiaomi,6013.02,Brand
2023-01-23T00:00:00,SFR,Apple,15244.1,Brand
2023-01-23T00:00:00,Sosh,Oppo,166.037,Brand
2023-01-23T00:00:00,Boulanger,Google,553.624,Brand
2023-01-23T00:00:00,Boulanger,Xiaomi,5443.48,Brand
2023-01-23T00:00:00,Bouygues Telecom,Samsung,18972.4,Brand
2023-01-23T00:00:00,RED by SFR,Apple,2414.45,Brand
